id,ementas
36569,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098057&cdForo=0
36570,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11097423&cdForo=0
36571,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098040&cdForo=0
36572,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098047&cdForo=0
36573,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11097298&cdForo=0
36574,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11096812&cdForo=0
36575,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11096813&cdForo=0
36576,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11096654&cdForo=0
36577,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11096653&cdForo=0
36578,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11093845&cdForo=0
36579,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091851&cdForo=0
36580,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091795&cdForo=0
36581,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091869&cdForo=0
36582,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091829&cdForo=0
36583,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091849&cdForo=0
36584,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091856&cdForo=0
36585,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091827&cdForo=0
36586,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089564&cdForo=0
36587,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091857&cdForo=0
36588,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091378&cdForo=0
36589,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11090671&cdForo=0
36590,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089153&cdForo=0
36591,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089154&cdForo=0
36592,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089151&cdForo=0
36593,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11091318&cdForo=0
36594,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089365&cdForo=0
36595,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11089218&cdForo=0
36596,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11094639&cdForo=0
36597,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11094374&cdForo=0
36598,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11088536&cdForo=0
36599,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11088504&cdForo=0
